280.655, 402.433; 556.742, 393.788; 552.061, 709.818; 275.599, 714.469; 
804.088, 386.043; 1093.86, 376.97; 1089.94, 700.771; 799.754, 705.652; 
1353.61, 368.836; 1658.1, 359.302; 1655.03, 691.265; 1350.08, 696.395; 
1931.22, 350.75; 2251.59, 340.718; 2249.46, 681.266; 1928.58, 686.663; 
2539.14, 331.714; 2876.65, 321.146; 2875.56, 670.734; 2537.48, 676.421; 
3179.8, 311.653; 3535.87, 300.504; 3535.95, 659.625; 3179.24, 665.625; 
271.46, 969.921; 548.23, 968.55; 543.522, 1286.42; 266.376, 1283.75; 
796.205, 967.322; 1086.73, 965.883; 1082.79, 1291.61; 791.845, 1288.81; 
1347.18, 964.593; 1652.51, 963.081; 1649.42, 1297.07; 1343.63, 1294.13; 
1926.41, 961.724; 2247.71, 960.133; 2245.57, 1302.81; 1923.75, 1299.71; 
2536.12, 958.704; 2874.67, 957.027; 2873.58, 1308.86; 2534.46, 1305.6; 
3178.78, 955.521; 3536.02, 953.751; 3536.1, 1315.25; 3178.22, 1311.8; 
262.213, 1540.67; 539.668, 1546.66; 534.933, 1866.38; 257.099, 1856.3; 
788.276, 1552.02; 1079.56, 1558.31; 1075.6, 1885.98; 783.89, 1875.41; 
1340.72, 1563.94; 1646.89, 1570.55; 1643.78, 1906.59; 1337.14, 1895.47; 
1921.57, 1576.48; 2243.81, 1583.43; 2241.65, 1928.27; 1918.89, 1916.57; 
2533.09, 1589.68; 2872.69, 1597; 2871.59, 1951.11; 2531.41, 1938.78; 
3177.77, 1603.59; 3536.17, 1611.32; 3536.25, 1975.22; 3177.2, 1962.2; 
252.912, 2114.7; 531.057, 2128.14; 526.294, 2449.73; 247.769, 2432.16; 
780.3, 2140.17; 1072.35, 2154.28; 1068.36, 2483.92; 775.888, 2465.47; 
1334.21, 2166.92; 1641.24, 2181.75; 1638.11, 2519.85; 1330.61, 2500.46; 
1916.7, 2195.05; 2239.89, 2210.66; 2237.71, 2557.67; 1914.01, 2537.25; 
2530.04, 2224.67; 2870.69, 2241.12; 2869.58, 2597.52; 2528.35, 2576; 
3176.74, 2255.9; 3536.32, 2273.26; 3536.4, 2639.58; 3176.17, 2616.86; 
